Productnaam;Categorie;Product;Maanden;Credits
"""Traject - Beginnerscursus 8 januari""";Traject;Beginnerscursus;;
1 jaar 3x per week trainen;Jaar;;12;
1 jaar onbeperkt trainen;Jaar;;12;
1 jaar onbeperkt trainen - 48 ritten PT - supplementen;Jaar;;12;
1 PT per week t/m 31-12-2024;PT;PT;;
1 PT per week t/m 31-12-2024;PT;PT;;
10 rittenkaart buiten training - 10 rittenkaart buiten training;Rittenkaart 10;10 rittenkaart;;
12 ritten;Rittenkaart;12 rittenkaart;;12
14 credits per maand (3x per week);3x per week;;;
16-rittenkaart;Rittenkaart;16 rittenkaart;;16
18 credits per maand (4x per week);4x per week;;;
18 ritten;Rittenkaart;18 rittenkaart;;18
1x Eiwitshake;Overig;;;
1x Eiwitshake, 1x fruit;Overig;;;
1x Gember shot;Overig;;;
1x Kill-Cliff;Overig;;;
1x per week;2x per week;;;
1x Protein paradise;Overig;;;
2 hoodies 3 shirts/tops;Overig;;;
22 credits per maand (5x per week);Energy Fit;;;
2x Eiwitshake;Overig;;;
2x eiwitten Vegan;Overig;;;
2x orange fit diet;Supplementen;;;
2x per week;2x per week;;;
2x per week;2x per week;;;
3 ritten;Rittenkaart;3 rittenkaart;;3
3 truien;Overig;;;
30 credits per maand (7x per week);Energy Fit;;;
3x Eiwitshake;Overig;;;
3x Overnight oats, 1x Wake up smoothie, 1x fruit;Overig;;;
3x per week;3x per week;;;
3x Wake up smoothie;Overig;;;
4x Eiwitshake;Overig;;;
4x oer maand;2x per week;;;
4x per week ;4x per week;;;
4x pw 2023;4x per week;;;
5 credits per maand (1 x per week);2x per week;;;
5x per week;Energy Fit;;;
6 ritten;Rittenkaart;6 rittenkaart;;6
6x per week;Energy Fit;;;
7x per week;Energy Fit;;;
8-rittenkaart;Rittenkaart;8 rittenkaart;;8
9 credits per maand (2 x per week);2x per week;;;
9 credits per maand (2x per week);2x per week;;;
Basics (3x per week);3x per week;;;
Basics 3x per week;3x per week;;;
BFNL 2x per week;2x per week;;;
BFNL 3x per week;3x per week;;;
BFNL 7x per week;Energy Fit;;;
Boek;Overig;;;
Chocolade;Overig;;;
Coach;Overig;;;
Coach - coach abonnement;Overig;;;
Core en strength - 3x per week;3x per week;;;
Core en strength - 4x per week;4x per week;;;
Core en strength - 5x per week;Energy Fit;;;
Crossfit Energy - 16-rittenkaart;Rittenkaart;16 rittenkaart;;
Crossfit Energy - 1x per week;2x per week;;;
Crossfit Energy - 2x per week;2x per week;;;
Crossfit Energy - 3x per week;3x per week;;;
